HITS;MISSES;MEMORY
70;46;4.94
62;42;4.79
72;48;5.13
65;44;5.08
70;46;5.46
70;48;5.44
74;62;5.59
82;75;5.82
92;60;5.84
93;62;6.17
79;52;6.28
87;60;6.62
113;74;6.77
80;52;7.03
77;54;6.86
88;56;7.04
91;63;7.38
111;97;7.74
85;57;7.37
79;54;7.58
105;69;7.83
108;72;8.16
75;50;8.02
93;62;8.18
82;54;8.39
94;62;8.66
93;58;9.0
111;97;9.08
102;69;9.25
102;70;9.5
95;62;9.63
108;70;9.91
93;65;9.96
91;59;10.35
90;61;10.45
99;64;10.58
82;57;10.83
82;54;11.01
102;66;11.17
113;76;11.31
108;74;11.29
67;44;11.28
80;54;11.37
87;58;11.63
82;56;11.69
74;48;11.92
72;48;11.76
86;56;12.09
94;64;12.28
92;62;12.32
76;48;12.43
77;52;12.47
86;59;12.89
88;59;12.88
83;54;13.01
106;74;13.42
63;49;12.82
91;74;13.4
80;56;13.47
104;72;13.63
67;50;13.58
88;57;13.67
100;67;14.02
75;48;13.81
80;54;14.11
80;54;13.96
93;69;14.63
73;60;14.3
67;50;14.52
71;49;14.41
101;68;14.45
72;48;14.51
83;56;14.63
65;43;14.42
89;61;14.74
72;46;14.29
92;67;14.33
74;64;14.38
88;67;14.7
92;60;14.39
69;45;14.3
93;61;14.4
75;52;14.34
94;60;14.6
87;60;14.48
77;52;14.53
72;52;14.44
94;78;14.66
79;57;14.35
66;47;14.35
99;66;14.19
79;52;14.02
68;45;13.95
104;67;14.33
98;66;14.15
113;76;14.28
91;62;14.1
80;54;14.21
121;80;14.25
88;56;13.95
100;72;13.99
76;48;13.74
73;48;13.8
66;44;13.98
112;76;14.32
103;66;14.37
70;48;13.96
71;47;13.89
106;71;14.39
102;68;14.25
64;44;13.63
80;53;13.81
96;65;14.13
74;50;13.97
91;58;13.89
75;53;14.07
95;66;14.15
63;43;13.91
83;58;14.13
72;51;13.97
97;64;14.1
81;54;14.28
104;65;14.52
65;45;14.36
81;58;14.22
98;64;14.28
72;46;14.36
57;38;14.03
84;62;14.12
85;59;14.21
81;51;14.2
94;64;13.95
82;54;14.18
74;48;14.0
82;54;14.02
66;44;14.05
50;36;13.48
27;16;12.86
16;10;12.38
5;4;12.04
4;2;11.9
3;2;11.66
6;4;11.73
3;2;11.52
6;4;11.47
3;2;11.25
3;2;10.94
6;4;10.88
3;2;10.68
0;0;10.34
0;0;10.16
0;0;9.98
0;0;9.92
0;0;9.78
0;0;9.62
0;0;9.45
0;0;9.34
0;0;9.17
0;0;8.97
46;44;10.62
50;36;10.39
50;31;10.18
43;27;10.12
57;42;10.49
52;32;10.08
50;36;10.23
58;36;9.93
57;38;10.0
52;32;10.05
65;58;10.04
81;58;10.19
71;48;9.96
77;52;10.3
46;30;9.6
66;44;10.25
78;55;10.17
67;44;9.92
80;57;9.96
69;41;10.0
78;68;9.92
67;55;9.85
81;57;9.99
92;60;10.08
84;57;10.04
92;62;10.03
88;58;9.86
105;68;9.98
79;52;9.67
90;61;9.89
89;82;10.08
95;64;10.02
100;70;10.16
98;69;10.21
96;63;10.32
117;78;10.1
78;53;10.09
90;62;9.98
90;59;10.45
85;58;9.93
92;60;10.21
